row_id,gene,description,Diet,GOterms
122,ERCC6,"product ERCC excision repair 6, chromatin remodeling factor, transcript variant X3",ProteinUp,"GO:0005634,GO:0006281,GO:0003682,GO:0003677,GO:0045739,GO:0008022,GO:0006979,GO:0005730,GO:0005654,GO:0005524,GO:0035264,GO:0031175,GO:0044877,GO:0000077,GO:1905168,GO:0006974,GO:0009411,GO:0045494,GO:0008023,GO:0030182,GO:0032786,GO:0047485,GO:0007254,GO:0008094,GO:0022008,GO:0008630,GO:0009636,GO:0010224,GO:0010332,GO:0006284,GO:0006290,GO:0090734,GO:0032784,GO:0010165,GO:0000012,GO:0006283,GO:0097680,GO:0030296,GO:0060261,GO:2001033,GO:0000303,GO:0006362,GO:0140658,GO:0045945,GO:0110016,GO:0005524,GO:0140658,GO:0005524,GO:0140658"
123,ERICH1,product glutamate-rich protein 1,ProteinUp,
124,ERV3-1,product endogenous retrovirus group 3 member 1 Env polyprotein,LipidUp,
125,ETFRF1,"product electron transfer flavoprotein regulatory factor 1, transcript variant X3",ProteinUp,"GO:0005739,GO:0022904"
126,ETV7,product transcription factor ETV7 isoform X2,ProteinUp,"GO:0043565,GO:0003700,GO:0006355,GO:0043565,GO:0003700,GO:0006355"
127,EXOC3,product exocyst complex component 3,ProteinUp,"GO:0006887,GO:0000145,GO:0006887,GO:0000145"
128,EXOC4,product exocyst complex component 4,ProteinUp,"GO:0090522,GO:0005737,GO:0047485,GO:0031267,GO:0000145,GO:0006904,GO:0090522,GO:0000145,GO:0006904"
129,EXT2,product exostosin glycosyltransferase 2,ProteinUp,"GO:0001707,GO:0005783,GO:0005794,GO:0002062,GO:0030210,GO:0042803,GO:0008217,GO:0010467,GO:0042311,GO:0060047,GO:0015012,GO:0046982,GO:0006487,GO:0008375,GO:0015020,GO:0016757,GO:0001503,GO:0006024,GO:0015014,GO:0033692,GO:0043541,GO:0051923,GO:0060350,GO:0006486,GO:0016021,GO:0050891,GO:0042044,GO:0044344,GO:0055078"
130,FABP6,product gastrotropin,ProteinUp,GO:0008289
131,FAH,product fumarylacetoacetate hydrolase,ProteinUp,"GO:0006527,GO:0004334,GO:0009072,GO:0003824"
132,FAM118B,product protein FAM118B isoform X3,LipidUp,"GO:0042802,GO:0030576,GO:0030576"
133,FAM120B,"product family with sequence similarity 120B, transcript variant X3",ProteinUp,"GO:0005634,GO:0045444,GO:0035357"
134,FAM161A,product protein FAM161A isoform X4,ProteinUp,"GO:0036064,GO:0008017,GO:0005813,GO:0042802,GO:0072686,GO:0060271,GO:0001917,GO:0097431,GO:0005876,GO:0032391,GO:1901985,GO:0000235"
135,FAM162A,product protein FAM162A isoform X2,LipidUp,"GO:0005829,GO:0005739,GO:0043065,GO:0071456,GO:0006919,GO:0090200,GO:0051402"
136,FAM180B,product protein FAM180B,ProteinUp,
137,FAM222A,product protein FAM222A,ProteinUp,
138,FASTKD3,"product FAST kinase domains 3, transcript variant X2",ProteinUp,"GO:0005654,GO:0005739,GO:0070131,GO:0033617,GO:0044528"
139,FAXC,"product failed axon connections homolog, metaxin like GST domain containing",ProteinUp,
140,FAXDC2,product fatty acid hydroxylase domain-containing protein 2,LipidUp,"GO:0005737,GO:0045654,GO:0001934,GO:0008610,GO:0005506,GO:0016491"
141,FBLIM1,"product filamin binding LIM protein 1, transcript variant X3",ProteinUp,"GO:0030054,GO:0098609,GO:0001650,GO:0005737,GO:0071944,GO:0001725,GO:0005925,GO:0031005,GO:0033623"
142,FBXL5,product F-box/LRR-repeat protein 5,LipidUp,"GO:0048471,GO:0016567,GO:0045732,GO:0055072,GO:0005506,GO:0031146,GO:0019005,GO:0030163,GO:0005515"
143,FBXO25,"product F-box protein 25, transcript variant X3",ProteinUp,"GO:0005634,GO:0005515"
144,FBXO31,product F-box protein 31,LipidUp,"GO:0006974,GO:0031145,GO:0043025,GO:0031146,GO:0019005,GO:0030332,GO:0031571,GO:0005515"
145,FGF22,product fibroblast growth factor 22,ProteinUp,"GO:0008543,GO:0005104,GO:0008083,GO:0005576"
146,FHIT,"product fragile histidine triad diadenosine triphosphatase, transcript variant X5",ProteinUp,GO:0003824
147,FHL3,product four and a half LIM domains protein 3,LipidUp,"GO:0005634,GO:0001725,GO:0030036,GO:0003779,GO:0030018"
148,FILIP1,"product filamin A interacting protein 1, transcript variant X4",LipidUp,"GO:0005730,GO:0005886,GO:0015629"
149,FOCAD,product focadhesin,ProteinUp,GO:0005925
150,GALNT1,"product polypeptide N-acetylgalactosaminyltransferase 1, transcript variant X2",ProteinUp,"GO:0048471,GO:0006493,GO:0005794,GO:0004653,GO:0030145,GO:0018242,GO:0018243"
151,GANC,product neutral alpha-glucosidase C isoform X2,ProteinUp,"GO:0004553,GO:0005975,GO:0030246,GO:0003824,GO:0004553,GO:0005975,GO:0030246,GO:0003824"
152,GC,product LOW QUALITY PROTEIN: vitamin D-binding protein,ProteinUp,
153,GGCT,product gamma-glutamylcyclotransferase,ProteinUp,"GO:0005829,GO:0042803,GO:0001836,GO:0003839"
154,GINS1,product GINS complex subunit 1,ProteinUp,"GO:0005634,GO:0005737,GO:0000811,GO:0006260,GO:0006268,GO:1900264,GO:1903934,GO:0071162"
155,GKN2,product gastrokine-2,ProteinUp,"GO:0009617,GO:0045178"
156,GMPR,"product guanosine monophosphate reductase, transcript variant X2",ProteinUp,"GO:1902560,GO:0009117,GO:0003920,GO:0016491,GO:0003824"
157,GORASP1,product Golgi reassembly-stacking protein 1,ProteinUp,"GO:0005794,GO:0006487,GO:0007030,GO:0050774,GO:0061951,GO:0005515,GO:0005515"
158,GPM6B,product neuronal membrane glycoprotein M6-b isoform X6,LipidUp,"GO:0016021,GO:0016021,GO:0030501,GO:0085029,GO:0032956,GO:0051893,GO:0016021,GO:0016021,GO:0016021,GO:0016021,GO:0016021"
159,GPR17,product uracil nucleotide/cysteinyl leukotriene receptor,ProteinUp,"GO:0002862,GO:0007186,GO:0004930,GO:0016021"
160,GPT,product LOW QUALITY PROTEIN: alanine aminotransferase 1,ProteinUp,"GO:0009058,GO:0042853,GO:0008483,GO:0030170"
161,GRAP2,"product GRB2 related adaptor protein 2, transcript variant X2",LipidUp,"GO:0005634,GO:0005737,GO:0005829,GO:0005654,GO:0005886,GO:0005768,GO:0005515,GO:0005515"
162,GRB10,"product growth factor receptor bound protein 10, transcript variant X3",ProteinUp,"GO:0032991,GO:0120162,GO:0010467,GO:0046627,GO:0046325,GO:0030178,GO:0042326,GO:0048009,GO:0070371,GO:0005158,GO:0030949,GO:1904738,GO:0030674,GO:0007165,GO:0030159,GO:0005158,GO:0046627,GO:0007165"
163,GSAP,"product gamma-secretase activating protein, transcript variant X3",ProteinUp,
164,GSTK1,product glutathione S-transferase kappa 1,ProteinUp,"GO:0005777,GO:0005739,GO:0004364,GO:0030855,GO:0004602,GO:0006749,GO:0016491,GO:0004602,GO:0004364,GO:0006749,GO:0016491,GO:0016491"
165,GTF3A,product transcription factor IIIA isoform X2,ProteinUp,"GO:0005654,GO:0008097,GO:0042273,GO:0003677"
166,HADHA,"product trifunctional enzyme subunit alpha, mitochondrial",ProteinUp,"GO:0016507,GO:0004300,GO:0003857,GO:0006631,GO:0006635,GO:0070403,GO:0005739,GO:0016616,GO:0016491,GO:0003824,GO:0016507,GO:0004300,GO:0005739,GO:0042645,GO:0003857,GO:0006631,GO:0006635,GO:0070403,GO:0016616,GO:0016491,GO:0003824,GO:0035965,GO:0005743"
167,HAPLN2,"product hyaluronan and proteoglycan link protein 2, transcript variant X2",ProteinUp,"GO:0005540,GO:0007155,GO:0005540,GO:0007155"
168,HAUS3,"product HAUS augmin like complex subunit 3, transcript variant X3",ProteinUp,"GO:0005813,GO:0051225,GO:0007098,GO:0070652,GO:1990498"
169,HEATR1,product HEAT repeat-containing protein 1,ProteinUp,"GO:0005739,GO:0001650,GO:0005730,GO:2000234,GO:0045943"
170,HENMT1,product small RNA 2'-O-methyltransferase isoform X2,ProteinUp,"GO:0008171,GO:0001510,GO:0034587,GO:0008173,GO:0090486"
171,HEPH,"product hephaestin, transcript variant X5",LipidUp,"GO:0005507,GO:0016323,GO:0004322,GO:0008198,GO:0006826,GO:0006879,GO:0016491,GO:0005886,GO:0005507,GO:0006879,GO:0006826,GO:0016491,GO:0005886"
172,HEXIM1,product LOW QUALITY PROTEIN: protein HEXIM1,LipidUp,
173,HJURP,"product Holliday junction recognition protein, transcript variant X2",ProteinUp,"GO:0034080,GO:0042393,GO:0000775,GO:0016021"
174,HOGA1,"product 4-hydroxy-2-oxoglutarate aldolase, mitochondrial",ProteinUp,"GO:0042803,GO:0009436,GO:0008700,GO:0019470,GO:0033609,GO:0042866,GO:0046487,GO:0016829,GO:0003824,GO:0016829,GO:0003824"
175,HPD,product 4-hydroxyphenylpyruvate dioxygenase,LipidUp,"GO:0009072,GO:0016701,GO:0003868,GO:0009072,GO:0016701,GO:0003868,GO:0009072,GO:0016701,GO:0003868,GO:0009072,GO:0016701,GO:0003868"
176,HPGDS,product hematopoietic prostaglandin D synthase,ProteinUp,"GO:0005829,GO:0005654,GO:0043231,GO:0042803,GO:0000287,GO:0005509,GO:0006693,GO:0004667,GO:2000255,GO:0006749,GO:0005515"
177,HS2ST1,product heparan sulfate 2-O-sulfotransferase 1,ProteinUp,"GO:0010467,GO:0015014,GO:0030202,GO:0060676,GO:0004394,GO:0016021,GO:0008146"
178,HYI,product putative hydroxypyruvate isomerase isoform X2,ProteinUp,
179,IDH1,product isocitrate dehydrogenase [NADP] cytoplasmic,ProteinUp,"GO:0005829,GO:0042802,GO:0005777,GO:0042803,GO:0000287,GO:0005737,GO:0004450,GO:0006102,GO:0006103,GO:0051287,GO:0016616"
180,IER3,product radiation-inducible immediate-early gene IEX-1,LipidUp,
181,IER5L,product LOW QUALITY PROTEIN: immediate early response gene 5-like protein,LipidUp,
182,IFIH1,"product interferon induced with helicase C domain 1, transcript variant X2",ProteinUp,"GO:0005737,GO:0008270,GO:0042802,GO:0009615,GO:0003723,GO:0016887,GO:0005739,GO:0003727,GO:0051607,GO:0071360,GO:0032728,GO:0016925,GO:0045071,GO:0032760,GO:0060760,GO:0045087,GO:0032755,GO:0032727,GO:0003724,GO:0003725,GO:0043021,GO:0039530,GO:0016787,GO:0003677,GO:0005524,GO:0098586,GO:0016787,GO:0003677,GO:0005524,GO:0016787,GO:0003677,GO:0005524"
183,IFT27,product intraflagellar transport protein 27 homolog isoform X2,ProteinUp,"GO:0005737,GO:0060122,GO:0005634,GO:0005813,GO:0005929,GO:0007224,GO:0006886,GO:0001822,GO:0097225,GO:0007283,GO:0036126,GO:0090102,GO:0042073,GO:0030992,GO:0097228,GO:0003924,GO:0005525,GO:0007165,GO:0016020"
184,IFT46,product intraflagellar transport protein 46 homolog isoform X3,LipidUp,"GO:0005737,GO:0042073,GO:0030992"
185,IFT52,product intraflagellar transport protein 52 homolog isoform X2,ProteinUp,"GO:0060271,GO:0097546,GO:0032391,GO:0035720,GO:0030992"
186,IFT74,product intraflagellar transport protein 74 homolog isoform X4,ProteinUp,"GO:0045944,GO:0005634,GO:0003682,GO:0007219,GO:0007507,GO:0005813,GO:0050680,GO:0005929,GO:0060271,GO:0007368,GO:1905515,GO:0008544,GO:0010839,GO:0048487,GO:0003334,GO:0030992,GO:0043616,GO:0035735,GO:0033630,GO:0042073,GO:0030992,GO:0042073,GO:0048487,GO:0060271"
187,IL15,"product interleukin 15, transcript variant X3",ProteinUp,"GO:0005829,GO:0005654,GO:0016607,GO:0050766,GO:0005737,GO:0001779,GO:0048469,GO:0042119,GO:0005125,GO:0042102,GO:0032740,GO:0050731,GO:0120163,GO:0048535,GO:0045580,GO:0007260,GO:0030225,GO:0035723,GO:0032825,GO:0005126,GO:0006955,GO:0005576,GO:0001866,GO:0032819,GO:0045062,GO:0050691,GO:0050778,GO:1904100,GO:0001787,GO:0005126,GO:0006955,GO:0005576"
188,IL7,product interleukin-7,ProteinUp,"GO:0006278,GO:0006955,GO:0007165,GO:0003964,GO:0005139,GO:0008083,GO:0005576"
189,IMPACT,product protein IMPACT isoform X4,ProteinUp,"GO:0005515,GO:0060548,GO:0000122,GO:0034198,GO:0042149,GO:0070301,GO:0005844,GO:0045666,GO:0003779,GO:1990138,GO:0031953,GO:0043022,GO:1990253,GO:0001933,GO:0031333,GO:0071468,GO:0006446,GO:0071264,GO:0071494,GO:0072755,GO:0097201,GO:0005515,GO:0140469"
190,INO80C,product INO80 complex subunit C,ProteinUp,"GO:0071339,GO:0031011,GO:0006338,GO:0051726,GO:0006275,GO:0033044,GO:0045893,GO:0060382"
191,IRF2BP2,product LOW QUALITY PROTEIN: interferon regulatory factor 2-binding protein 2,ProteinUp,"GO:0005654,GO:0005634,GO:0003714,GO:0000122,GO:0002327"
192,IRS1,product insulin receptor substrate 1,ProteinUp,
193,IRS2,product LOW QUALITY PROTEIN: insulin receptor substrate 2,LipidUp,"GO:0005886,GO:0010634,GO:0032991,GO:0008283,GO:0007420,GO:0005829,GO:0009749,GO:0019901,GO:0002053,GO:0030879,GO:0016477,GO:0032869,GO:0030890,GO:0045725,GO:0046326,GO:2000648,GO:0008286,GO:0043548,GO:0002903,GO:0010748,GO:0010907,GO:0032000,GO:0032024,GO:0033673,GO:0044342,GO:0005158,GO:0072089,GO:0010631,GO:1904692"
194,ISM2,product isthmin-2,ProteinUp,
195,ITGA1,product integrin subunit alpha 1,ProteinUp,"GO:0008305,GO:0007155,GO:0009986,GO:0009897,GO:0008285,GO:0019903,GO:0005925,GO:0007160,GO:0007155,GO:0042059,GO:0045178,GO:0030593,GO:0032516,GO:0098639,GO:0034665,GO:0045123,GO:0008305"
196,ITM2B,"product integral membrane protein 2B, transcript variant X2",ProteinUp,"GO:0043231,GO:0005886,GO:0005615,GO:0005794,GO:0030660,GO:0031301,GO:0005524,GO:0001540,GO:0042985"
197,ITPR3,"product inositol 1,4,5-trisphosphate receptor type 3, transcript variant X3",LipidUp,"GO:0005730,GO:0005886,GO:0005634,GO:0005737,GO:0005654,GO:0007613,GO:0005887,GO:0005789,GO:0060291,GO:0070679,GO:0051592,GO:0043235,GO:0005220,GO:0006816,GO:0015278,GO:0050913,GO:0050916,GO:0035091,GO:0050917,GO:0070588,GO:0005262,GO:0005216,GO:0006811,GO:0005783,GO:0016020,GO:0055085,GO:0005220,GO:0070679,GO:0070588,GO:0005262,GO:0006816,GO:0005216,GO:0006811,GO:0005783,GO:0016020,GO:0055085,GO:0005220,GO:0070679,GO:0070588,GO:0005262,GO:0006816,GO:0005216,GO:0006811,GO:0005783,GO:0016020,GO:0055085,GO:0005220,GO:0070679,GO:0070588,GO:0005262,GO:0006816,GO:0005216,GO:0006811,GO:0005783,GO:0016020,GO:0055085,GO:0005220,GO:0070679,GO:0070588,GO:0005262,GO:0006816,GO:0005216,GO:0006811,GO:0005783,GO:0016020,GO:0055085,GO:0005220,GO:0070679,GO:0070588,GO:0005262,GO:0006816,GO:0005216,GO:0006811,GO:0005783,GO:0016020,GO:0055085"
198,JMJD8,product jumonji domain containing 8,LipidUp,"GO:0005634,GO:0005737,GO:0005783,GO:0005788,GO:1903672,GO:0043123,GO:0006110,GO:1903302"
199,KBTBD4,product kelch repeat and BTB domain-containing protein 4 isoform X2,ProteinUp,GO:0005515
200,KIAA0586,product protein TALPID3 isoform X2,LipidUp,"GO:0007224,GO:0005813,GO:0007224,GO:0060271,GO:0007224"
201,KIAA1549L,product UPF0606 protein KIAA1549L homolog,ProteinUp,
202,KIF16B,product kinesin-like protein KIF16B isoform X3,ProteinUp,"GO:0005737,GO:0005819,GO:0005547,GO:0043325,GO:0032266,GO:0080025,GO:0005769,GO:0032801,GO:0005768,GO:0045022,GO:0007173,GO:0008574,GO:0001919,GO:0035091,GO:0007018,GO:0003777,GO:0008017,GO:0005524,GO:0005515,GO:0035091,GO:0007018,GO:0003777,GO:0008017,GO:0005524,GO:0005515"
203,KLF9,product LOW QUALITY PROTEIN: Krueppel-like factor 9,ProteinUp,
204,L2HGDH,"product L-2-hydroxyglutarate dehydrogenase, mitochondrial",ProteinUp,"GO:0005739,GO:0047545,GO:0016021,GO:0016491,GO:0044281"
205,LAMB2,"product laminin subunit beta 2, transcript variant X2",LipidUp,"GO:0007528,GO:0007411,GO:0007601,GO:0060041,GO:0045202,GO:0050808,GO:0014044,GO:0005178,GO:0000904,GO:0031175,GO:0005604,GO:0014002,GO:0048677,GO:0072249,GO:0072274,GO:0005608,GO:0031594,GO:0043083,GO:0043256"
206,LAMTOR5,product ragulator complex protein LAMTOR5,ProteinUp,"GO:0043154,GO:0071986,GO:0005829,GO:0032991,GO:0005085,GO:0061462,GO:0010628,GO:0008361,GO:0060090,GO:0005764,GO:0032008,GO:0043123,GO:0051092,GO:1905636,GO:1900182,GO:0043066,GO:0005737,GO:0032757,GO:0071230"
207,LARS2,"product probable leucine--tRNA ligase, mitochondrial",ProteinUp,"GO:0004823,GO:0006429,GO:0002161,GO:0006418,GO:0004812,GO:0000166,GO:0005524"
208,LATS2,product serine/threonine-protein kinase LATS2,LipidUp,"GO:0006468,GO:0005829,GO:0008104,GO:0005634,GO:0004674,GO:0005524,GO:0035556,GO:0090090,GO:0000922,GO:0060070,GO:0000082,GO:0034451,GO:0030216,GO:0046620,GO:0001827,GO:0035329,GO:0009755,GO:0045736,GO:0017015,GO:0001828,GO:1900181,GO:0004672,GO:0005515"
209,LCK,product tyrosine-protein kinase Lck,LipidUp,"GO:0004713,GO:0042802,GO:0019901,GO:0008022,GO:0045121,GO:0006468,GO:0005886,GO:2001244,GO:0019903,GO:0043548,GO:0051117,GO:0001784,GO:0042169,GO:0006919,GO:0004722,GO:0001772,GO:0038083,GO:0030217,GO:0042608,GO:0042609,GO:0042610,GO:0006882,GO:0018108,GO:0034116,GO:0050870,GO:1903039,GO:0000242,GO:0005524,GO:0004672,GO:0005515,GO:0004715,GO:0016004,GO:0043274,GO:0035556,GO:0009410,GO:0038094"
210,LGALS8,"product galectin 8, transcript variant X2",ProteinUp,"GO:0005737,GO:0005178,GO:0098586,GO:0030246,GO:0098792,GO:1904977,GO:0005829,GO:0030246"
211,LIMA1,product LIM domain and actin-binding protein 1 isoform X3,LipidUp,"GO:0005829,GO:0016477,GO:0015629,GO:0005886,GO:0001725,GO:0001726,GO:0032154,GO:0005903,GO:0005925,GO:0051015,GO:0003785,GO:0042632,GO:0030835,GO:0031526,GO:0051017,GO:0030299,GO:0031529,GO:0030835,GO:0051017,GO:0051015"
212,LOC103812301,"product DNA repair protein complementing XP-G cells-like, transcript variant X2",ProteinUp,"GO:0006289,GO:0004519,GO:0003697,GO:0016788,GO:0004518,GO:0003824,GO:0005634,GO:0003677"
213,LOC103812474,product taste receptor type 2 member 40-like,LipidUp,
214,LOC103812659,product coagulation factor X-like,ProteinUp,
215,LOC103813172,"product fatty acid-binding protein, adipocyte",ProteinUp,"GO:0005634,GO:0005737,GO:0120162,GO:0042632,GO:0045892,GO:0009617,GO:0050873,GO:0006469,GO:0050729,GO:0050872,GO:0071285,GO:0071356,GO:0005324,GO:0036041,GO:0051427,GO:0015909,GO:0050727,GO:0005504,GO:0008289"
216,LOC103813342,product LOW QUALITY PROTEIN: histone H3,LipidUp,
217,LOC103813344,product histone H3-like,LipidUp,"GO:0000786,GO:0003677,GO:0046982"
218,LOC103813686,"product ankyrin repeat domain-containing protein 26-like, transcript variant X3",ProteinUp,
219,LOC103813813,"product cytochrome c oxidase subunit 6C-2, transcript variant X2",ProteinUp,"GO:0005751,GO:0006123"
220,LOC103814667,"product sterol 26-hydroxylase, mitochondrial",ProteinUp,"GO:0020037,GO:0030343,GO:0036378,GO:0006707,GO:0006699,GO:0031073,GO:0047749,GO:0004497,GO:0016705,GO:0005506,GO:0004497,GO:0020037,GO:0016705,GO:0005506"
221,LOC103814852,product pancreatic alpha-amylase,ProteinUp,
222,LOC103814853,product pancreatic alpha-amylase-like,LipidUp,
223,LOC103814889,"product retinol dehydrogenase 8-like, transcript variant X2",ProteinUp,"GO:0006703,GO:0004303,GO:0016491,GO:0005737"
224,LOC103814960,product feather beta keratin-like,LipidUp,
225,LOC103815265,product ovocalyxin-32,LipidUp,
226,LOC103816245,product solute carrier family 22 member 6-B-like,LipidUp,
227,LOC103816370,"product serine/threonine-protein kinase PAK 3, transcript variant X9",ProteinUp,"GO:0004672,GO:0014069,GO:0098978,GO:0071407,GO:0030833,GO:0060997,GO:0060996,GO:0007409,GO:0004708,GO:0016358,GO:0004674,GO:0005524,GO:0006468,GO:0031267,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0004672,GO:0004674"
228,LOC103816564,product protein Wnt-11b-like,LipidUp,"GO:0016055,GO:0007275,GO:0005102,GO:0005576,GO:0016055,GO:0007275,GO:0005102,GO:0005576"
229,LOC103816687,"product proline-, glutamic acid- and leucine-rich protein 1-like",LipidUp,
230,LOC103816846,product C-C motif chemokine 3-like,LipidUp,
231,LOC103817180,"product tubulin monoglycylase TTLL3, transcript variant X2",LipidUp,
232,LOC103817274,product uncharacterized protein LOC103817274 isoform X3,ProteinUp,
233,LOC103817466,product solute carrier family 22 member 5-like,ProteinUp,"GO:0030165,GO:0016324,GO:0015879,GO:0055085,GO:0022857,GO:0016021,GO:0015651,GO:0015697,GO:0015226,GO:1901235,GO:0009609,GO:0060731,GO:0070715,GO:1902270,GO:0031526"
234,LOC103817490,product copper transport protein ATOX1,ProteinUp,
235,LOC103817511,"product lateral signaling target protein 2 homolog, transcript variant X2",ProteinUp,GO:0046872
236,LOC103818899,product opsin-5-like,LipidUp,
237,LOC103819095,product uncharacterized protein LOC103819095 isoform X2,LipidUp,
238,LOC103819604,"product cystine/glutamate transporter-like, transcript variant X7",ProteinUp,"GO:0016020,GO:0055085,GO:0022857"
239,LOC103819677,"product cytochrome c oxidase subunit 7A2, mitochondrial",ProteinUp,"GO:0005746,GO:0005751,GO:0009055,GO:0006123,GO:0005746,GO:0005751,GO:0009055,GO:0006123,GO:0031966"
240,LOC103819862,"product E3 SUMO-protein ligase ZNF451, transcript variant X3",ProteinUp,"GO:0005634,GO:0003714,GO:0030512,GO:0016925,GO:0061665,GO:0060633,GO:2000616"
241,LOC103820036,"product C-C motif chemokine 5-like, transcript variant X2",ProteinUp,"GO:0008009,GO:0006955,GO:0005576"
242,LOC103820060,product glutathione S-transferase 3,ProteinUp,"GO:0004364,GO:0006749,GO:0005515"
243,LOC103820069,"product glutathione S-transferase-like, transcript variant X5",ProteinUp,"GO:0004364,GO:0006749,GO:0005515,GO:0004364,GO:0006749,GO:0005515"
244,LOC103820112,product uncharacterized protein LOC103820112,ProteinUp,
245,LOC103820175,"product uncharacterized LOC103820175, transcript variant X2",LipidUp,
246,LOC103820243,"product protein spinster homolog 2, transcript variant X2",LipidUp,"GO:0060348,GO:0007605,GO:0043029,GO:0001782,GO:0002260,GO:0048535,GO:0006665,GO:0048073,GO:0072676,GO:0046624,GO:0006869,GO:0003376,GO:0055085,GO:0022857,GO:0002920,GO:2000404,GO:0055085,GO:0022857"
247,LOC103820475,product aldo-keto reductase family 1 member B1-like,ProteinUp,GO:0016491
248,LOC103821014,"product oncostatin-M-specific receptor subunit beta, transcript variant X5",ProteinUp,"GO:0008284,GO:0016324,GO:0034097,GO:0019838,GO:0004924,GO:0038165,GO:0005900,GO:0004896,GO:0016020,GO:0005515,GO:0004896,GO:0016020,GO:0005515,GO:0004896,GO:0016020,GO:0005515"
249,LOC103821179,product uncharacterized protein LOC103821179,ProteinUp,
250,LOC103821188,product cytochrome P450 2K6-like,ProteinUp,"GO:0004497,GO:0016712,GO:0020037,GO:0016705,GO:0005506,GO:0004497,GO:0016712,GO:0020037,GO:0016705,GO:0005506"
251,LOC103821265,product serine/threonine-protein kinase PAK 3-like,ProteinUp,
252,LOC103821310,product glycine N-methyltransferase,ProteinUp,"GO:0017174,GO:0042802,GO:0005829,GO:0051289,GO:0016594,GO:0046500"
253,LOC103821679,"product corticotropin-releasing factor receptor 1, transcript variant X2",LipidUp,"GO:0007166,GO:0004888,GO:0007186,GO:0004930,GO:0016020,GO:0016021,GO:0016021,GO:0031226,GO:0007189,GO:1901386,GO:0071376,GO:0007166,GO:0004888,GO:0007186,GO:0004930,GO:0016020,GO:0015056,GO:0010578"
254,LOC103821682,product uncharacterized LOC103821682,ProteinUp,
255,LOC103821691,product M1-specific T cell receptor alpha chain-like,LipidUp,
256,LOC103821693,product cathepsin G-like,ProteinUp,
257,LOC103821740,product gastrin/cholecystokinin-like peptide,LipidUp,"GO:0005179,GO:0005576"
258,LOC103821799,product E3 ubiquitin-protein ligase RNF113A-like,ProteinUp,
259,LOC103822142,"product acyl-coenzyme A amino acid N-acyltransferase 2, transcript variant X4",LipidUp,
260,LOC103822244,product uncharacterized LOC103822244,ProteinUp,"GO:0007186,GO:0004930,GO:0016021"
261,LOC103822479,product endonuclease domain-containing 1 protein-like,ProteinUp,"GO:0046872,GO:0016787,GO:0003676"
262,LOC103822613,product ras-related protein Rab-42-like,LipidUp,
263,LOC103822769,product uncharacterized LOC103822769,LipidUp,
264,LOC103822992,product protein LYRIC-like,ProteinUp,
265,LOC103823316,product mediator of RNA polymerase II transcription subunit 20,ProteinUp,
266,LOC103823331,product myotubularin-related protein 9,LipidUp,
267,LOC103823412,"product uncharacterized LOC103823412, transcript variant X3",LipidUp,
268,LOC103823444,product probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2 isoform X3,ProteinUp,"GO:0004488,GO:0003824"
269,LOC103823783,product uncharacterized LOC103823783,ProteinUp,
270,LOC103823804,exception rearrangement required for product,ProteinUp,
271,LOC103823810,product TCR gamma alternate reading frame protein,ProteinUp,
272,LOC103824205,product transcription cofactor HES-6-like,LipidUp,
273,LOC103824266,product nuclear pore glycoprotein p62-like,ProteinUp,
274,LOC103824291,"product protein ABHD14B, transcript variant X2",ProteinUp,"GO:0005634,GO:0005829,GO:0005654,GO:0005730,GO:0045944,GO:0016787"
275,LOC103824480,product late histone H2B.L4,ProteinUp,"GO:0003677,GO:0030527,GO:0046982,GO:0000786"
276,LOC103824485,product acid-sensing ion channel 1C-like,LipidUp,
277,LOC103824588,"product low density lipoprotein receptor adapter protein 1-like, transcript variant X4",LipidUp,
278,LOC103824734,"product mothers against decapentaplegic homolog 2-like, transcript variant X2",ProteinUp,"GO:0007179,GO:0005667,GO:0006355,GO:0005515,GO:0007179,GO:0005667,GO:0006355,GO:0005515,GO:0007179,GO:0005667,GO:0006355,GO:0005515"
279,LOC103824752,product F-box only protein 41,ProteinUp,
280,LOC103824862,product uncharacterized LOC103824862,ProteinUp,
281,LOC103824994,product zinc finger protein 501-like,LipidUp,"GO:0006355,GO:0003700,GO:0043565,GO:0046872,GO:0005634"
282,LOC103825019,product E3 ubiquitin-protein ligase BRE1B-like,LipidUp,
283,LOC103825034,product homer protein homolog 3-like,ProteinUp,
284,LOC103825050,product alpha-actinin-4-like,LipidUp,
285,LOC103825057,exception rearrangement required for product,ProteinUp,
286,LOC103825061,product glutamate-rich protein 1,ProteinUp,
287,LOC103825067,product E3 ubiquitin-protein ligase HUWE1-like,LipidUp,
288,LOC103825091,product free fatty acid receptor 2,LipidUp,
289,LOC103825145,"product zinc finger protein 436-like, transcript variant X3",LipidUp,
290,LOC103825248,product splicing factor 1-like,LipidUp,
291,LOC103825278,product deaminated glutathione amidase,LipidUp,
292,LOC103825282,"product uncharacterized LOC103825282, transcript variant X2",ProteinUp,
293,LOC103825307,"product very long-chain specific acyl-CoA dehydrogenase, mitochondrial-like",LipidUp,
294,LOC103825383,product chromobox protein homolog 5-like,ProteinUp,
